RunDates,TERMYld,ACMFITYld,GSWYld
30-Jun-1961,0.163828986441716,3.86738138033413,3.87046038284282
31-Jul-1961,0.409683123657563,4.02499637380754,4.02410640377216
31-Aug-1961,0.29935126833987,4.05760519095347,4.06141088324753
29-Sep-1961,0.203704038818819,3.90345445230313,3.90237278846739
31-Oct-1961,0.302368111605343,3.93316362515709,3.92968995227553
30-Nov-1961,0.0817208343776823,3.89129852814888,3.86119583878141
29-Dec-1961,-0.134031628106659,3.84376783273549,3.80063454927816
31-Jan-1962,0.16421265657498,4.02857764749999,4.02670953777886
28-Feb-1962,0.160760025238471,3.87549780714675,3.87205372667289
30-Mar-1962,0.292943607655654,3.85922287234394,3.8549673654003
30-Apr-1962,0.0685031845301176,3.7342857973368,3.73109717229609
31-May-1962,0.358439763989988,3.89630957178375,3.89192418265432
29-Jun-1962,0.239584289172475,3.96142454383686,3.96293502809065
31-Jul-1962,0.303932875498763,4.02068414223499,4.01654861576694
31-Aug-1962,0.419465934263686,3.98693100946941,3.98311883091881
28-Sep-1962,0.465576479776451,3.98610609947853,3.98266649648934
31-Oct-1962,0.475879614464506,3.96988924354885,3.96445770595898
30-Nov-1962,0.39824988889003,3.93510773189305,3.92928171166662
31-Dec-1962,0.391562614767058,3.88498048475829,3.88548067085926
31-Jan-1963,0.212543287730115,3.86054428690819,3.86421502447494
28-Feb-1963,0.390811621421584,3.9527179623491,3.94872880980455
29-Mar-1963,0.400909720721085,3.98865513002543,3.98372341793465
30-Apr-1963,0.28622417589855,3.9320177059277,3.93123018883204
31-May-1963,0.231274401416997,3.94218856720595,3.94426665938021
28-Jun-1963,0.263692314384761,3.98955258677633,3.99387241366517
31-Jul-1963,0.0680030671885192,3.94627347939485,3.94982068348138
30-Aug-1963,0.155282876122451,4.02596318570021,4.02191000721983
30-Sep-1963,0.173726678716499,4.05192619248906,4.04988546030218
31-Oct-1963,0.233727444891807,4.11697347958014,4.11252814389771
29-Nov-1963,0.011405720391565,4.02162045209112,4.02610184239376
31-Dec-1963,0.0279726118583694,4.07579661946076,4.07680886639731
31-Jan-1964,0.0964836395071824,4.09869992080563,4.09999070849457
28-Feb-1964,0.114971229889087,4.14239545762957,4.11471346679211
31-Mar-1964,0.180999080597934,4.22127264655847,4.19269047457177
30-Apr-1964,0.158369932767733,4.18915865864638,4.18724114573569
28-May-1964,0.108031985624081,4.12089137138049,4.11594455325126
30-Jun-1964,0.100029406917644,4.0774005293176,4.07291725295434
31-Jul-1964,0.36302401515544,4.21424644714789,4.20998856188537
31-Aug-1964,0.256423717163435,4.19455983746437,4.19010046325918
30-Sep-1964,0.0875255767022409,4.10747140386554,4.10366074518673
30-Oct-1964,0.0806737172937808,4.10726410531005,4.103347394263
30-Nov-1964,-0.0540552042313642,4.11869984893568,4.11737936366691
31-Dec-1964,0.00492383977624566,4.1271953738784,4.1312529584234
29-Jan-1965,0.285545884456389,4.23335945779487,4.23599227190828
26-Feb-1965,0.187622367721842,4.22806471854195,4.22958873631067
31-Mar-1965,0.0673752812058472,4.17698254348789,4.17465787590921
30-Apr-1965,0.0219948519663671,4.14167456552471,4.1415582235077
28-May-1965,-0.00207355759687644,4.14463182798957,4.14827506823603
30-Jun-1965,0.0579522084616029,4.15138675119018,4.15478843072432
30-Jul-1965,0.0614885750399843,4.1762515041087,4.1775833019263
31-Aug-1965,0.0215777696779726,4.21021041320601,4.21182199666322
30-Sep-1965,0.208886775500199,4.37541490945478,4.37856341137068
29-Oct-1965,0.11394919806762,4.38425555571644,4.386205884476
30-Nov-1965,0.0830323994589746,4.43384324493175,4.43848005730196
31-Dec-1965,0.208097906292124,4.77276059343503,4.76592782838285
31-Jan-1966,0.290780597225837,4.84239443583177,4.83553348400584
28-Feb-1966,0.472199790867941,5.05809029190977,5.03296529907169
31-Mar-1966,0.304459597841523,4.7974737929725,4.77907775085761
29-Apr-1966,0.284088467169181,4.82706388993181,4.8151147151535
31-May-1966,0.231655979305463,4.88540077874779,4.88934175928961
30-Jun-1966,0.391132746145168,5.04883475350813,5.04193117928975
29-Jul-1966,0.475820161489749,5.21527346281632,5.21033995253925
31-Aug-1966,0.658965898060083,5.64753596031057,5.62588748412854
30-Sep-1966,0.418621743239819,5.28498650786921,5.27373066253843
31-Oct-1966,0.321195941715741,5.14709596536747,5.14364214683209
30-Nov-1966,0.391359798922497,5.2327122283695,5.22963995973758
30-Dec-1966,0.14617498973493,4.72284172030448,4.71424961243525
31-Jan-1967,0.158945889702389,4.59435237073769,4.5948196769772
28-Feb-1967,0.259870877525341,4.71968551227072,4.69697068032379
31-Mar-1967,0.172812194101171,4.41128533979797,4.41743566776383
28-Apr-1967,0.508560984411407,4.75305545393172,4.75748518313669
31-May-1967,0.497102509326829,4.75724855063519,4.75591711249545
30-Jun-1967,0.674297822187258,5.22989028176839,5.20705049553378
31-Jul-1967,0.408851588276979,5.0193869579421,5.01157950677383
31-Aug-1967,0.601961414997294,5.28237094667716,5.2592818545805
29-Sep-1967,0.548138042204016,5.2893091571429,5.27590469949204
31-Oct-1967,0.802036750117638,5.64196772421107,5.6367203577817
30-Nov-1967,0.742579190919183,5.70621209206713,5.70898386506654
29-Dec-1967,0.726450376688685,5.73328676504338,5.73129952471626
31-Jan-1968,0.730111741441748,5.52116078492512,5.51587153048293
29-Feb-1968,0.728517070358891,5.57538663031426,5.54897612092951
29-Mar-1968,0.862390960581791,5.73834832622951,5.70921806463038
30-Apr-1968,0.802954641388379,5.85232391872307,5.85625138743113
31-May-1968,0.710921642469939,5.79399956887067,5.77353371476356
28-Jun-1968,1.30391165132323,5.96113905161714,5.99482653426565
31-Jul-1968,1.61736144563245,5.88942217688396,5.94080186581925
30-Aug-1968,0.714352627017954,5.48059716170549,5.48890727229164
30-Sep-1968,0.711122076040324,5.49239083995409,5.50134112344002
31-Oct-1968,0.793767714982607,5.62589415323543,5.63347709904283
29-Nov-1968,0.705607281845542,5.68192591533371,5.69837247582134
31-Dec-1968,0.839035598979027,6.16413799747009,6.16953533440763
31-Jan-1969,0.848300204964094,6.09450079288305,6.09413141406483
28-Feb-1969,0.631185261126322,6.10919996198283,6.10390754661009
28-Mar-1969,1.11217932867582,6.29108071258294,6.28532318526896
30-Apr-1969,0.938076974002743,6.16243865000357,6.1462214152884
29-May-1969,1.00754717057891,6.42207951926166,6.39914168025958
30-Jun-1969,0.788757437585738,6.57346619798807,6.54015072258226
31-Jul-1969,0.283783164894456,6.32087006640659,6.30654854627502
29-Aug-1969,0.633764926243419,6.64246031218105,6.63037100457432
30-Sep-1969,0.846261732772191,7.31553654774568,7.30845539750234
31-Oct-1969,0.168477550606889,6.51619220174849,6.47631971616033
28-Nov-1969,0.953849184357055,7.10470435067322,7.09655076418295
31-Dec-1969,0.161156176470519,7.07305439169487,7.02015759493138
30-Jan-1970,0.998004275995163,7.60942913162125,7.56553592631767
27-Feb-1970,0.47702170661328,6.68725115423525,6.6453931907418
31-Mar-1970,1.15085883350099,6.97196747548626,6.95934042283184
30-Apr-1970,1.62207978237566,7.73675732908813,7.73052050842715
29-May-1970,1.33219649436717,7.47865974675774,7.47029350791566
30-Jun-1970,1.55043788235531,7.55447664849033,7.54737911742585
